station_train_code,from_station_name,to_station_name,start_time,swz_num,tz_num,zy_num,ze_num,wz_num,record_time
G7032,上海,昆山南,06:18,0,0,50,530,0,08:48
G7076,上海,昆山南,06:23,0,0,3,70,0,08:48
D3002,上海虹桥,昆山南,06:32,0,0,5,78,0,08:48
D2206,上海虹桥,昆山南,06:38,0,0,39,432,0,08:48
D3072,上海虹桥,昆山南,06:50,0,0,70,324,0,08:48
D3056,上海虹桥,昆山南,07:15,0,0,4,84,84,08:48
G108,上海虹桥,昆山南,07:20,1,0,54,258,0,08:48
G7102,上海虹桥,昆山南,07:20,10,0,28,469,0,08:48
D2212,上海虹桥,昆山南,07:30,0,0,23,131,0,08:48
G1232,上海虹桥,昆山南,07:49,1,0,2,32,0,08:48
G7268,上海,昆山南,08:05,0,0,95,327,0,08:48
G7036,上海,昆山南,08:10,10,0,27,482,0,08:48
G114,上海虹桥,昆山南,08:10,2,0,3,187,0,08:48
G7232,上海,昆山南,08:15,5,0,2,66,0,08:48
D3064,上海虹桥,昆山南,08:20,0,0,16,94,0,08:48
G7206,上海,昆山南,08:26,0,0,50,523,0,08:48
G7084,上海,阳澄湖,08:32,0,0,15,80,0,08:48
D2216,上海虹桥,昆山南,08:39,0,0,10,142,0,08:48
G1258,上海虹桥,昆山南,09:13,0,11,2,38,0,08:48
G1920,上海虹桥,昆山南,09:18,0,0,5,321,0,08:48
G7202,上海,昆山南,09:19,0,0,39,531,0,08:48
G7372,上海虹桥,昆山南,09:27,26,0,144,86,0,08:48
G7132,上海虹桥,昆山南,09:32,20,0,4,81,0,08:48
G7564,上海虹桥,昆山南,09:37,26,0,144,29,0,08:48
D3090,上海虹桥,昆山南,10:15,0,0,10,56,0,08:48
D3068,上海虹桥,昆山南,10:18,0,0,0,76,83,08:48
G1214,上海虹桥,昆山南,10:22,0,28,11,143,0,08:48
G1236,上海虹桥,昆山南,10:33,0,12,1,18,0,08:48
G7044,上海,阳澄湖,10:46,0,0,50,530,0,08:48
G7240,上海,昆山南,10:54,13,0,101,190,0,08:48
G7106,上海虹桥,昆山南,11:05,0,0,46,484,0,08:48
G7572,上海虹桥,昆山南,11:10,0,0,0,11,0,08:48
G7264,上海,昆山南,11:17,0,0,50,106,0,08:48
G1228,上海虹桥,昆山南,11:31,8,0,9,164,0,08:48
G7282,上海,昆山南,11:34,0,0,50,64,0,08:48
G7108,上海虹桥,昆山南,11:40,10,0,28,433,0,08:48
G7586,上海虹桥,昆山南,11:48,0,0,38,102,0,08:48
G1956,上海虹桥,昆山南,11:59,12,0,18,846,0,08:48
G412,上海虹桥,昆山南,12:23,5,0,8,15,0,08:48
G7048,上海,昆山南,12:25,0,0,50,525,0,08:48
G1810,上海虹桥,昆山南,12:34,14,0,28,818,0,08:48
G7296,上海,昆山南,12:40,0,0,9,105,0,08:48
G7110,上海虹桥,昆山南,12:46,10,0,28,469,0,08:48
G7088,上海,昆山南,12:54,12,0,1,97,0,08:48
G1928,上海虹桥,昆山南,12:56,9,0,20,797,0,08:48
G134,上海虹桥,昆山南,13:02,0,0,54,119,0,08:48
G7112,上海虹桥,昆山南,13:10,0,0,50,491,0,08:48
G7092,上海,昆山南,13:48,17,0,29,114,0,08:48
D3006,上海虹桥,昆山南,13:53,0,0,11,192,0,08:48
G7114,上海虹桥,昆山南,14:07,5,0,27,358,0,08:48
G7276,上海,昆山南,14:12,0,0,15,175,0,08:48
G142,上海虹桥,昆山南,14:16,1,0,55,162,0,08:48
D3094,上海虹桥,昆山南,14:27,0,0,1,10,0,08:48
G7050,上海,昆山南,14:30,0,0,50,525,0,08:48
G1818,上海虹桥,昆山南,14:40,12,0,7,780,0,08:48
D3010,上海虹桥,昆山南,14:52,0,0,40,379,0,08:48
G214,上海虹桥,昆山南,14:54,16,0,62,313,0,08:48
G146,上海虹桥,昆山南,15:05,0,0,15,229,0,08:48
G7140,上海虹桥,昆山南,15:08,13,0,28,81,0,08:48
D3032,上海虹桥,昆山南,15:16,0,0,0,19,0,08:48
D3014,上海虹桥,昆山南,16:07,0,0,6,83,0,08:48
G7116,上海虹桥,昆山南,16:14,0,0,20,447,0,08:48
G7054,上海,昆山南,16:20,0,0,48,526,0,08:48
G7592,上海虹桥,昆山南,16:25,26,0,99,14,0,08:48
D3086,上海虹桥,昆山南,16:43,0,0,4,17,0,08:48
D3042,上海虹桥,昆山南,16:47,0,0,1,36,0,08:48
G7272,上海,昆山南,16:49,10,0,25,179,0,08:48
G7144,上海虹桥,昆山南,17:07,20,0,33,138,0,08:48
G7208,上海,昆山南,17:22,0,0,49,529,0,08:48
G44,上海虹桥,昆山南,17:24,1,0,4,122,0,08:48
G7056,上海,阳澄湖,17:28,0,0,50,526,0,08:48
G158,上海虹桥,昆山南,17:34,1,0,1,377,0,08:48
G7256,上海,昆山南,17:40,26,0,108,317,0,08:48
D3136,上海虹桥,昆山南,17:47,0,0,33,219,163,08:48
D3046,上海虹桥,昆山南,17:53,0,0,36,104,0,08:48
G7286,上海虹桥,昆山南,17:54,10,0,19,67,0,08:48
G298,上海虹桥,昆山南,17:59,18,0,44,172,0,08:48
G7120,上海虹桥,昆山南,18:09,0,0,50,480,0,08:48
G7058,上海,昆山南,18:13,0,0,50,525,0,08:48
G1826,上海虹桥,昆山南,18:20,14,0,31,936,0,08:48
