train_no,station_train_code,from_station_name,to_station_name,start_time,swz_num,tz_num,zy_num,ze_num,wz_num,record_time
55000G703240,G7032,上海,昆山南,06:18,0,0,50,530,0,20:03
55000G7076A0,G7076,上海,昆山南,06:23,0,0,3,70,0,20:03
5l000D300220,D3002,上海虹桥,昆山南,06:32,0,0,5,78,0,20:03
5l000D220651,D2206,上海虹桥,昆山南,06:38,0,0,39,432,0,20:03
5l000D307230,D3072,上海虹桥,昆山南,06:50,0,0,74,332,0,20:03
5l000D305630,D3056,上海虹桥,昆山南,07:15,0,0,4,84,84,20:03
5l000G710240,G7102,上海虹桥,昆山南,07:20,10,0,28,470,0,20:03
5l0000G10861,G108,上海虹桥,昆山南,07:20,1,0,54,259,0,20:03
5l000D221221,D2212,上海虹桥,昆山南,07:30,0,0,23,132,0,20:03
5l000G123280,G1232,上海虹桥,昆山南,07:49,1,0,2,31,0,20:03
55000G726830,G7268,上海,昆山南,08:05,0,0,95,326,0,20:03
55000G703670,G7036,上海,昆山南,08:10,10,0,27,480,0,20:03
5l0000G11441,G114,上海虹桥,昆山南,08:10,2,0,3,187,0,20:03
55000G723280,G7232,上海,昆山南,08:15,5,0,2,66,0,20:03
5l000D306430,D3064,上海虹桥,昆山南,08:20,0,0,16,94,0,20:03
55000G720690,G7206,上海,昆山南,08:26,0,0,50,523,0,20:03
55000G708470,G7084,上海,阳澄湖,08:32,0,0,15,80,0,20:03
5l000D221641,D2216,上海虹桥,昆山南,08:39,0,0,10,143,0,20:03
5l000G125870,G1258,上海虹桥,昆山南,09:13,0,11,2,37,0,20:03
5l000G192000,G1920,上海虹桥,昆山南,09:18,0,0,5,324,0,20:03
55000G720280,G7202,上海,昆山南,09:19,0,0,39,527,0,20:03
56000G737212,G7372,上海虹桥,昆山南,09:27,26,0,144,80,0,20:03
5l000G713290,G7132,上海虹桥,昆山南,09:32,20,0,4,87,0,20:03
56000G756401,G7564,上海虹桥,昆山南,09:37,26,0,144,29,0,20:03
5l000D309030,D3090,上海虹桥,昆山南,10:15,0,0,10,56,0,20:03
5l000D306880,D3068,上海虹桥,昆山南,10:18,0,0,0,75,83,20:03
5l000G121460,G1214,上海虹桥,昆山南,10:22,0,28,11,144,0,20:03
5l000G123630,G1236,上海虹桥,昆山南,10:33,0,12,1,18,0,20:03
