train_no,station_train_code,from_station_name,to_station_name,start_time,swz_num,tz_num,zy_num,ze_num,wz_num,record_date,record_time,start_time_before30m,from_to
5l000G713670,G7136,戚墅堰,丹阳,11:29,0,0,15,16,135,2016-12-18,10:59,10:59,"[戚墅堰, 丹阳]"
5l000G713670,G7136,戚墅堰,镇江,11:29,0,0,15,10,135,2016-12-18,10:59,10:59,"[戚墅堰, 镇江]"
5l000G713670,G7136,戚墅堰,南京南,11:29,0,0,15,9,135,2016-12-18,10:59,10:59,"[戚墅堰, 南京南]"
55000G704290,G7042,丹阳,镇江,11:29,10,0,16,178,147,2016-12-18,10:59,10:59,"[丹阳, 镇江]"
55000G704290,G7042,丹阳,南京,11:29,10,0,16,174,147,2016-12-18,10:59,10:59,"[丹阳, 南京]"
5l000G122860,G1228,上海虹桥,无锡东,11:31,17,0,34,597,0,2016-12-18,11:01,11:01,"[上海虹桥, 无锡东]"
5l000G122860,G1228,上海虹桥,常州北,11:31,19,0,29,530,0,2016-12-18,11:01,11:01,"[上海虹桥, 常州北]"
5l000G122860,G1228,上海虹桥,镇江南,11:31,19,0,28,469,0,2016-12-18,11:01,11:01,"[上海虹桥, 镇江南]"
5l000G122860,G1228,上海虹桥,南京南,11:31,19,0,25,414,0,2016-12-18,11:01,11:01,"[上海虹桥, 南京南]"
5j000G757240,G7572,昆山南,苏州,11:31,0,0,45,158,335,2016-12-18,11:01,11:01,"[昆山南, 苏州]"
5j000G757240,G7572,昆山南,无锡,11:31,0,0,43,120,335,2016-12-18,11:01,11:01,"[昆山南, 无锡]"
5j000G757240,G7572,昆山南,常州,11:31,0,0,45,155,335,2016-12-18,11:01,11:01,"[昆山南, 常州]"
5j000G757240,G7572,昆山南,丹阳,11:31,0,0,43,116,335,2016-12-18,11:01,11:01,"[昆山南, 丹阳]"
5j000G757240,G7572,昆山南,镇江,11:31,0,0,43,122,335,2016-12-18,11:01,11:01,"[昆山南, 镇江]"
5j000G757240,G7572,昆山南,南京南,11:31,0,0,43,119,335,2016-12-18,11:01,11:01,"[昆山南, 南京南]"
55000G724042,G7240,苏州,无锡,11:32,24,0,104,91,233,2016-12-18,11:02,11:02,"[苏州, 无锡]"
55000G724042,G7240,苏州,常州,11:32,24,0,103,81,232,2016-12-18,11:02,11:02,"[苏州, 常州]"
55000G724042,G7240,苏州,镇江,11:32,24,0,104,92,232,2016-12-18,11:02,11:02,"[苏州, 镇江]"
