,from_station_name,from_to,record_date,record_time,start_time,start_time_before30m,station_train_code,swz_num,to_station_name,train_no,tz_num,wz_num,ze_num,zy_num,station_name,station_interval
0,镇江南,"[镇江南, 南京南]",2016-12-18,2016-12-18 11:05:00,2016-12-18 11:35:00,11:05,G1214,0,南京南,5l000G121460,28,0,576,70,"[上海虹桥, 昆山南, 无锡东, 镇江南, 南京南, 宿州东, 徐州东, 曲阜东, 济南西, 天津西, 天津, 唐山, 北戴河, 秦皇岛, 山海关, 葫芦岛北, 盘锦北, 沈阳北, 公主岭南, 长春]","[[上海虹桥, 昆山南], [昆山南, 无锡东], [无锡东, 镇江南], [镇江南, 南京南], [南京南, 宿州东], [宿州东, 徐州东], [徐州东, 曲阜东], [曲阜东, 济南西], [济南西, 天津西], [天津西, 天津], [天津, 唐山], [唐山, 北戴河], [北戴河, 秦皇岛], [秦皇岛, 山海关], [山海关, 葫芦岛北], [葫芦岛北, 盘锦北], [盘锦北, 沈阳北], [沈阳北, 公主岭南], [公主岭南, 长春]]"
1,镇江南,"[镇江南, 南京南]",2016-12-18,2016-12-18 11:59:00,2016-12-18 12:29:00,11:59,G1252,11,南京南,5l000G125240,0,0,698,38,"[上海虹桥, 苏州北, 无锡东, 镇江南, 南京南, 滁州, 徐州东, 滕州东, 曲阜东, 济南西, 沧州西, 天津西, 天津, 军粮城北, 唐山, 秦皇岛, 山海关, 葫芦岛北, 盘锦, 营口东, 鲅鱼圈, 大连北]","[[上海虹桥, 苏州北], [苏州北, 无锡东], [无锡东, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 徐州东], [徐州东, 滕州东], [滕州东, 曲阜东], [曲阜东, 济南西], [济南西, 沧州西], [沧州西, 天津西], [天津西, 天津], [天津, 军粮城北], [军粮城北, 唐山], [唐山, 秦皇岛], [秦皇岛, 山海关], [山海关, 葫芦岛北], [葫芦岛北, 盘锦], [盘锦, 营口东], [营口东, 鲅鱼圈], [鲅鱼圈, 大连北]]"
2,苏州北,"[苏州北, 无锡东]",2016-12-18,2016-12-18 11:15:00,2016-12-18 11:45:00,11:15,G1252,8,无锡东,5l000G125240,0,0,773,40,"[上海虹桥, 苏州北, 无锡东, 镇江南, 南京南, 滁州, 徐州东, 滕州东, 曲阜东, 济南西, 沧州西, 天津西, 天津, 军粮城北, 唐山, 秦皇岛, 山海关, 葫芦岛北, 盘锦, 营口东, 鲅鱼圈, 大连北]","[[上海虹桥, 苏州北], [苏州北, 无锡东], [无锡东, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 徐州东], [徐州东, 滕州东], [滕州东, 曲阜东], [曲阜东, 济南西], [济南西, 沧州西], [沧州西, 天津西], [天津西, 天津], [天津, 军粮城北], [军粮城北, 唐山], [唐山, 秦皇岛], [秦皇岛, 山海关], [山海关, 葫芦岛北], [葫芦岛北, 盘锦], [盘锦, 营口东], [营口东, 鲅鱼圈], [鲅鱼圈, 大连北]]"
3,苏州北,"[苏州北, 镇江南]",2016-12-18,2016-12-18 11:15:00,2016-12-18 11:45:00,11:15,G1252,8,镇江南,5l000G125240,0,0,768,39,"[上海虹桥, 苏州北, 无锡东, 镇江南, 南京南, 滁州, 徐州东, 滕州东, 曲阜东, 济南西, 沧州西, 天津西, 天津, 军粮城北, 唐山, 秦皇岛, 山海关, 葫芦岛北, 盘锦, 营口东, 鲅鱼圈, 大连北]","[[上海虹桥, 苏州北], [苏州北, 无锡东], [无锡东, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 徐州东], [徐州东, 滕州东], [滕州东, 曲阜东], [曲阜东, 济南西], [济南西, 沧州西], [沧州西, 天津西], [天津西, 天津], [天津, 军粮城北], [军粮城北, 唐山], [唐山, 秦皇岛], [秦皇岛, 山海关], [山海关, 葫芦岛北], [葫芦岛北, 盘锦], [盘锦, 营口东], [营口东, 鲅鱼圈], [鲅鱼圈, 大连北]]"
4,苏州北,"[苏州北, 南京南]",2016-12-18,2016-12-18 11:15:00,2016-12-18 11:45:00,11:15,G1252,10,南京南,5l000G125240,0,0,733,39,"[上海虹桥, 苏州北, 无锡东, 镇江南, 南京南, 滁州, 徐州东, 滕州东, 曲阜东, 济南西, 沧州西, 天津西, 天津, 军粮城北, 唐山, 秦皇岛, 山海关, 葫芦岛北, 盘锦, 营口东, 鲅鱼圈, 大连北]","[[上海虹桥, 苏州北], [苏州北, 无锡东], [无锡东, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 徐州东], [徐州东, 滕州东], [滕州东, 曲阜东], [曲阜东, 济南西], [济南西, 沧州西], [沧州西, 天津西], [天津西, 天津], [天津, 军粮城北], [军粮城北, 唐山], [唐山, 秦皇岛], [秦皇岛, 山海关], [山海关, 葫芦岛北], [葫芦岛北, 盘锦], [盘锦, 营口东], [营口东, 鲅鱼圈], [鲅鱼圈, 大连北]]"
5,无锡东,"[无锡东, 镇江南]",2016-12-18,2016-12-18 11:27:00,2016-12-18 11:57:00,11:27,G1252,10,镇江南,5l000G125240,0,0,748,41,"[上海虹桥, 苏州北, 无锡东, 镇江南, 南京南, 滁州, 徐州东, 滕州东, 曲阜东, 济南西, 沧州西, 天津西, 天津, 军粮城北, 唐山, 秦皇岛, 山海关, 葫芦岛北, 盘锦, 营口东, 鲅鱼圈, 大连北]","[[上海虹桥, 苏州北], [苏州北, 无锡东], [无锡东, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 徐州东], [徐州东, 滕州东], [滕州东, 曲阜东], [曲阜东, 济南西], [济南西, 沧州西], [沧州西, 天津西], [天津西, 天津], [天津, 军粮城北], [军粮城北, 唐山], [唐山, 秦皇岛], [秦皇岛, 山海关], [山海关, 葫芦岛北], [葫芦岛北, 盘锦], [盘锦, 营口东], [营口东, 鲅鱼圈], [鲅鱼圈, 大连北]]"
6,无锡东,"[无锡东, 南京南]",2016-12-18,2016-12-18 11:27:00,2016-12-18 11:57:00,11:27,G1252,10,南京南,5l000G125240,0,0,724,39,"[上海虹桥, 苏州北, 无锡东, 镇江南, 南京南, 滁州, 徐州东, 滕州东, 曲阜东, 济南西, 沧州西, 天津西, 天津, 军粮城北, 唐山, 秦皇岛, 山海关, 葫芦岛北, 盘锦, 营口东, 鲅鱼圈, 大连北]","[[上海虹桥, 苏州北], [苏州北, 无锡东], [无锡东, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 徐州东], [徐州东, 滕州东], [滕州东, 曲阜东], [曲阜东, 济南西], [济南西, 沧州西], [沧州西, 天津西], [天津西, 天津], [天津, 军粮城北], [军粮城北, 唐山], [唐山, 秦皇岛], [秦皇岛, 山海关], [山海关, 葫芦岛北], [葫芦岛北, 盘锦], [盘锦, 营口东], [营口东, 鲅鱼圈], [鲅鱼圈, 大连北]]"
7,苏州北,"[苏州北, 常州北]",2016-12-18,2016-12-18 12:01:00,2016-12-18 12:31:00,12:01,G1956,11,常州北,5l000G195600,0,0,389,16,"[上海虹桥, 昆山南, 苏州北, 常州北, 镇江南, 南京南, 滁州, 宿州东, 徐州东, 砀山南, 商丘, 民权北, 兰考南, 郑州东, 安阳东, 邯郸东, 石家庄, 阳泉北, 太原南]","[[上海虹桥, 昆山南], [昆山南, 苏州北], [苏州北, 常州北], [常州北, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 宿州东], [宿州东, 徐州东], [徐州东, 砀山南], [砀山南, 商丘], [商丘, 民权北], [民权北, 兰考南], [兰考南, 郑州东], [郑州东, 安阳东], [安阳东, 邯郸东], [邯郸东, 石家庄], [石家庄, 阳泉北], [阳泉北, 太原南]]"
8,苏州北,"[苏州北, 镇江南]",2016-12-18,2016-12-18 12:01:00,2016-12-18 12:31:00,12:01,G1956,9,镇江南,5l000G195600,0,0,294,13,"[上海虹桥, 昆山南, 苏州北, 常州北, 镇江南, 南京南, 滁州, 宿州东, 徐州东, 砀山南, 商丘, 民权北, 兰考南, 郑州东, 安阳东, 邯郸东, 石家庄, 阳泉北, 太原南]","[[上海虹桥, 昆山南], [昆山南, 苏州北], [苏州北, 常州北], [常州北, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 宿州东], [宿州东, 徐州东], [徐州东, 砀山南], [砀山南, 商丘], [商丘, 民权北], [民权北, 兰考南], [兰考南, 郑州东], [郑州东, 安阳东], [安阳东, 邯郸东], [邯郸东, 石家庄], [石家庄, 阳泉北], [阳泉北, 太原南]]"
9,苏州北,"[苏州北, 南京南]",2016-12-18,2016-12-18 12:01:00,2016-12-18 12:31:00,12:01,G1956,9,南京南,5l000G195600,0,0,242,9,"[上海虹桥, 昆山南, 苏州北, 常州北, 镇江南, 南京南, 滁州, 宿州东, 徐州东, 砀山南, 商丘, 民权北, 兰考南, 郑州东, 安阳东, 邯郸东, 石家庄, 阳泉北, 太原南]","[[上海虹桥, 昆山南], [昆山南, 苏州北], [苏州北, 常州北], [常州北, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 宿州东], [宿州东, 徐州东], [徐州东, 砀山南], [砀山南, 商丘], [商丘, 民权北], [民权北, 兰考南], [兰考南, 郑州东], [郑州东, 安阳东], [安阳东, 邯郸东], [邯郸东, 石家庄], [石家庄, 阳泉北], [阳泉北, 太原南]]"
10,常州北,"[常州北, 镇江南]",2016-12-18,2016-12-18 12:25:00,2016-12-18 12:55:00,12:25,G1956,10,镇江南,5l000G195600,0,0,277,13,"[上海虹桥, 昆山南, 苏州北, 常州北, 镇江南, 南京南, 滁州, 宿州东, 徐州东, 砀山南, 商丘, 民权北, 兰考南, 郑州东, 安阳东, 邯郸东, 石家庄, 阳泉北, 太原南]","[[上海虹桥, 昆山南], [昆山南, 苏州北], [苏州北, 常州北], [常州北, 镇江南], [镇江南, 南京南], [南京南, 滁州], [滁州, 宿州东], [宿州东, 徐州东], [徐州东, 砀山南], [砀山南, 商丘], [商丘, 民权北], [民权北, 兰考南], [兰考南, 郑州东], [郑州东, 安阳东], [安阳东, 邯郸东], [邯郸东, 石家庄], [石家庄, 阳泉北], [阳泉北, 太原南]]"
