station_train_code,from_station_name,to_station_name,start_time,swz_num,tz_num,zy_num,ze_num,wz_num
G7072,上海,南京南,06:02,17,0,50,74,0
D352,上海虹桥,南京南,06:04,0,0,0,106,0
D636,上海虹桥,南京南,06:09,0,0,4,45,0
G456,上海虹桥,南京南,06:12,12,0,64,160,0
G1912,上海虹桥,南京南,06:17,20,0,159,681,0
G7032,上海,南京,06:18,0,0,49,523,0
G1802,上海虹桥,南京南,06:22,0,0,13,445,0
G7076,上海,南京南,06:23,0,0,44,57,0
D3002,上海虹桥,南京南,06:32,0,0,0,28,0
D2206,上海虹桥,南京南,06:38,0,0,4,99,0
G102,上海虹桥,南京南,06:39,0,0,47,131,0
D3072,上海虹桥,南京南,06:50,0,0,33,86,0
G104,上海虹桥,南京南,06:53,16,0,82,289,0
G7002,上海,南京,07:00,0,22,59,988,0
G6,上海虹桥,南京南,07:00,0,0,20,44,0
G222,上海虹桥,南京南,07:05,15,0,14,131,0
G7034,上海,南京,07:05,0,0,49,529,0
G106,上海虹桥,南京南,07:10,11,0,26,333,0
G1916,上海虹桥,南京南,07:15,24,0,139,633,0
D3056,上海虹桥,南京南,07:15,0,0,0,0,84
G7102,上海虹桥,南京,07:20,10,0,28,467,0
G108,上海虹桥,南京南,07:20,1,0,54,242,0
G7395,上海虹桥,南京南,07:27,10,0,23,431,0
G110,上海虹桥,南京南,07:28,12,0,45,272,0
D2212,上海虹桥,南京南,07:30,0,0,0,0,0
G7080,上海,南京南,07:43,12,0,48,9,0
G1232,上海虹桥,南京南,07:49,1,0,2,10,0
G598,上海虹桥,南京南,07:55,13,0,19,222,0
G7004,上海,南京,08:00,0,15,32,960,0
G12,上海虹桥,南京南,08:00,7,0,0,47,0
G112,上海虹桥,南京南,08:05,3,0,31,329,0
G7268,上海,南京南,08:05,0,0,95,302,0
G7036,上海,南京,08:10,10,0,27,481,0
G114,上海虹桥,南京南,08:10,2,0,0,140,0
G7232,上海,南京南,08:15,5,0,0,65,0
G1952,上海虹桥,南京南,08:16,1,0,7,360,0
D3064,上海虹桥,南京南,08:20,0,0,0,0,0
G576,上海虹桥,南京南,08:25,1,0,5,60,0
G7084,上海,南京南,08:32,0,0,15,49,0
G676,上海虹桥,南京南,08:32,0,0,2,15,0
G212,上海虹桥,南京南,08:38,8,0,42,203,0
D2216,上海虹桥,南京南,08:39,0,0,0,0,0
G360,上海虹桥,南京南,08:45,3,0,74,449,0
G1866,上海虹桥,南京南,08:54,7,0,38,872,0
G7104,上海虹桥,南京,08:54,0,0,20,499,0
G7006,上海,南京,09:00,0,18,25,952,0
G2,上海虹桥,南京南,09:00,0,0,5,47,0
G7038,上海,南京,09:05,0,0,50,520,0
G230,上海虹桥,南京南,09:08,14,0,2,70,0
G1258,上海虹桥,南京南,09:13,0,11,0,17,0
D3022,上海虹桥,南京南,09:16,0,0,2,1,96
G1920,上海虹桥,南京南,09:18,0,0,3,274,0
G7372,上海虹桥,南京南,09:27,26,0,143,81,0
G1806,上海虹桥,南京南,09:29,9,0,16,581,0
G7132,上海虹桥,南京南,09:32,17,0,53,58,0
G116,上海虹桥,南京南,09:34,0,0,34,126,0
G7564,上海虹桥,南京南,09:37,26,0,144,22,0
G1204,上海虹桥,南京南,09:39,5,0,10,206,0
G7040,上海,南京,09:48,0,0,49,532,0
G118,上海虹桥,南京南,09:54,0,0,29,88,0
G7008,上海,南京,10:00,0,24,52,974,0
G14,上海虹桥,南京南,10:00,0,0,0,19,0
G7042,上海,南京,10:09,10,0,28,483,0
D3090,上海虹桥,南京南,10:15,0,0,0,0,0
D3068,上海虹桥,南京南,10:18,0,0,0,1,83
G1214,上海虹桥,南京南,10:22,0,25,11,99,0
